ID	LAT	LNG	BANCO	RED	DOM_ORIG	DOM_GEO	TERMINALES	WEB	ACTUALIZAC	DOM_NORMA	BARRIO	COMUNA	CODIGO_POSTAL	CODIGO_POSTAL_ARGENTINO
428	-34.5877185786	-58.4117268365	BANCO ITAU	BANELCO	AV. SANTA FE 3315	3315 SANTA FE AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 3315	PALERMO	COMUNA 14	1425	C1425BGI
429	-34.5949617419	-58.3789858389	BANCO ITAU	BANELCO	AV. SANTA FE 831	831 SANTA FE AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 831	RETIRO	COMUNA 1	1059	C1059ABC
430	-34.5902289722	-58.423582847	BANCO MACRO	BANELCO	AV. SCALABRINI ORTIZ 1729	1729 SCALABRINI ORTIZ, RAUL AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	SCALABRINI ORTIZ, RAUL AV. 1729	PALERMO	COMUNA 14	1414	C1414DOE
431	-34.585160154	-58.4163256412	BBVA-BANCO FRANCES	BANELCO	AV. SCALABRINI ORTIZ 2486	2486 SCALABRINI ORTIZ, RAUL AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SCALABRINI ORTIZ, RAUL AV. 2486	PALERMO	COMUNA 14	1425	C1425DBS
432	-34.5848428341	-58.4156968762	BANCO ITAU	BANELCO	AV. SCALABRINI ORTIZ 2524	2524 SCALABRINI ORTIZ, RAUL	1	HTTP://WWW.BANELCO.COM/	MAR-15	SCALABRINI ORTIZ, RAUL 2524	PALERMO	COMUNA 14	1425	C1425DBT
433	-34.5894932012	-58.4098547283	CITIBANK	BANELCO	AV. STA FE 3168	3168 SANTA FE AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 3168	RECOLETA	COMUNA 2	1425	C1425BGT
434	-34.5818977448	-58.4725668965	BANCO SANTANDER RIO	BANELCO	AV. TRIUNVIRATO 3633	3633 TRIUNVIRATO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 3633	VILLA ORTUZAR	COMUNA 15	1427	C1427AAJ
435	-34.5806571208	-58.4745742892	CITIBANK	BANELCO	AV. TRIUNVIRATO 3791	3791 TRIUNVIRATO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 3791	VILLA ORTUZAR	COMUNA 15	1431	C1431FBA
436	-34.5798830263	-58.4752220651	BANCO PATAGONIA	BANELCO	AV. TRIUNVIRATO 3897	3897 TRIUNVIRATO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 3897	VILLA ORTUZAR	COMUNA 15	1431	C1431FBB
437	-34.5773203887	-58.4814247392	CITIBANK	BANELCO	AV. TRIUNVIRATO 4301	4301 TRIUNVIRATO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4301	VILLA URQUIZA	COMUNA 12	1431	C1431FBG
438	-34.5775343471	-58.4816695395	BANCO SUPERVIELLE	BANELCO	AV. TRIUNVIRATO 4302	4302 TRIUNVIRATO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4302	VILLA URQUIZA	COMUNA 12	1431	C1431FBT
439	-34.5765419897	-58.4831545801	BANCO ITAU	BANELCO	AV. TRIUNVIRATO 4410	4410 TRIUNVIRATO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4410	VILLA URQUIZA	COMUNA 12	1431	C1431FBU
440	-34.5747986591	-58.4852993993	ICBC	BANELCO	AV. TRIUNVIRATO 4599	4599 TRIUNVIRATO AV.	4	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4599	VILLA URQUIZA	COMUNA 12	1431	C1431FBI
441	-34.5747986591	-58.4852993993	HSBC ARGENTINA	BANELCO	AV. TRIUNVIRATO 4601	4601 TRIUNVIRATO AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4601	VILLA URQUIZA	COMUNA 12	1431	C1431FBJ
442	-34.5748178313	-58.4860081461	BANCO SANTANDER RIO	BANELCO	AV. TRIUNVIRATO 4648	4648 TRIUNVIRATO AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4648	VILLA URQUIZA	COMUNA 12	1431	C1431FBW
443	-34.6575249403	-58.3887208588	BANCO GALICIA	BANELCO	AV. VELEZ SARFIELD 1847	1847 VELEZ SARSFIELD AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	VELEZ SARSFIELD AV. 1847	BARRACAS	COMUNA 4	1285	C1285AAH
444	-34.5972370828	-58.4768689717	BANCO GALICIA	BANELCO	AV. WARNES 2702	2702 WARNES AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	WARNES AV. 2702	PATERNAL	COMUNA 15	1427	C1427DPT
445	-34.6336821958	-58.5209541887	BANCO GALICIA	BANELCO	AV.ALVAREZ JONTE 6383	6383 ALVAREZ JONTE AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	ALVAREZ JONTE AV. 6383	LINIERS	COMUNA 9	1408	C1408BXF
446	-34.5652875049	-58.4533740488	CITIBANK	BANELCO	AV.CABILDO 1717	1717 CABILDO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CABILDO AV. 1717	BELGRANO	COMUNA 13	1426	C1426ABE
447	-34.5586241301	-58.4593516436	HSBC ARGENTINA	BANELCO	AV.CABILDO 2453	2453 CABILDO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CABILDO AV. 2453	BELGRANO	COMUNA 13	1428	C1428AAG
448	-34.5498354002	-58.4677339936	BBVA-BANCO FRANCES	BANELCO	AV.CABILDO 3622	3622 CABILDO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CABILDO AV. 3622	NUÑEZ	COMUNA 13	1429	C1429AAU
449	-34.5881433084	-58.3881230215	CITIBANK	BANELCO	AV.CALLAO 1902	1902 CALLAO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CALLAO AV. 1902	RECOLETA	COMUNA 2	1024	C1024AAS
450	-34.6061304329	-58.3919404218	BBVA-BANCO FRANCES	BANELCO	AV.CALLAO 257	257 CALLAO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CALLAO AV. 257	SAN NICOLAS	COMUNA 1	1022	C1022AAC
451	-34.5985958992	-58.3763899819	BANCO COMAFI	BANELCO	AV.CORDOBA 669	669 CORDOBA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CORDOBA AV. 669	RETIRO	COMUNA 1	1054	C1054AAF
452	-34.586152748	-58.4077887704	BBVA-BANCO FRANCES	BANELCO	AV.CORONEL DIAZ 2257	2257 DIAZ, CNEL. AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	DIAZ, CNEL. AV. 2257	RECOLETA	COMUNA 2	1425	C1425DQI
453	-34.6042410718	-58.4097418509	HSBC ARGENTINA	BANELCO	AV.CORRIENTES 3158	3158 CORRIENTES AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CORRIENTES AV. 3158	BALVANERA	COMUNA 3	1193	C1193AAQ
454	-34.6029770518	-58.3726249355	BANCO GALICIA	BANELCO	AV.CORRIENTES 409	409 CORRIENTES AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	CORRIENTES AV. 409	SAN NICOLAS	COMUNA 1	1043	C1043AAE
455	-34.6024037351	-58.4305059778	CITIBANK	BANELCO	AV.CORRIENTES 4618	4618 CORRIENTES AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CORRIENTES AV. 4618	ALMAGRO	COMUNA 5	1195	C1195AAS
456	-34.6037952192	-58.3800771711	BBVA-BANCO FRANCES	BANELCO	AV.CORRIENTES 942	942 CORRIENTES AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CORRIENTES AV. 942	SAN NICOLAS	COMUNA 1	1043	C1043AAW
457	-34.5547299966	-58.4496382788	BBVA-BANCO FRANCES	BANELCO	AV.DEL LIBERTADOR 6220	6220 DEL LIBERTADOR AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	DEL LIBERTADOR AV. 6220	BELGRANO	COMUNA 13	1428	C1428ARS
458	-34.6318407289	-58.454844306	BANCO SANTANDER RIO	BANELCO	AV.DIRECTORIO 1950	1950 DIRECTORIO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	DIRECTORIO AV. 1950	FLORES	COMUNA 7	1406	C1406GZV
459	-34.6578590739	-58.4791802093	BBVA-BANCO FRANCES	BANELCO	AV.EVA PERON 4941	4941 PERON, EVA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	PERON, EVA AV. 4941	MATADEROS	COMUNA 9	1439	C1439BSA
460	-34.5515581674	-58.4371511463	BANCO SUPERVIELLE	BANELCO	AV.FIGUEROA ALCORTA 6608	6608 FIGUEROA ALCORTA, PRES. AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	FIGUEROA ALCORTA, PRES. AV. 6608	BELGRANO	COMUNA 13	1428	C1428BCP
461	-34.6074353488	-58.4462745493	BANCO PATAGONIA	BANELCO	AV.GAONA 1129	1129 GAONA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	GAONA AV. 1129	VILLA CRESPO	COMUNA 15	1405	C1405DKA
462	-34.6459717632	-58.528664821	BANCO SANTANDER RIO	BANELCO	AV.GRAL PAZ Y HUMAITA	PAZ, GRAL. AV. & HUMAITA	1	HTTP://WWW.BANELCO.COM/	MAR-15	PAZ, GRAL. AV. Y HUMAITA	LINIERS	COMUNA 9		
463	-34.6179359264	-58.3909348514	BANCO SUPERVIELLE	BANELCO	AV.INDEPENDENCIA 1743	1743 INDEPENDENCIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	INDEPENDENCIA AV. 1743	MONSERRAT	COMUNA 1	1100	C1100ABE
464	-34.620900713	-58.4179188512	BANCO GALICIA	BANELCO	AV.INDEPENDENCIA 3691	3691 INDEPENDENCIA AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	INDEPENDENCIA AV. 3691	ALMAGRO	COMUNA 5	1226	C1226AAB
465	-34.655501086	-58.5074670195	BBVA-BANCO FRANCES	BANELCO	AV.J.B.ALBERDI 6401	6401 ALBERDI, JUAN BAUTISTA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	ALBERDI, JUAN BAUTISTA AV. 6401	MATADEROS	COMUNA 9	1440	C1440ABC
466	-34.6321454839	-58.5014094985	BANCO SANTANDER RIO	BANELCO	AV.J.B.JUSTO Y L.DE VEGA	JUSTO, JUAN B. AV. & LOPE DE VEGA	1	HTTP://WWW.BANELCO.COM/	MAR-15	JUSTO, JUAN B. AV. Y LOPE DE VEGA	VILLA LURO	COMUNA 10		
467	-34.5601984565	-58.4538302914	BANCO GALICIA	BANELCO	AV.JURAMENTO 2095	2095 JURAMENTO AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	JURAMENTO AV. 2095	BELGRANO	COMUNA 13	1428	C1428DNG
468	-34.5870836575	-58.3979441863	BBVA-BANCO FRANCES	BANELCO	AV.LAS HERAS 2332	2332 LAS HERAS GENERAL AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	LAS HERAS GENERAL AV. 2332	RECOLETA	COMUNA 2	1425	C1425ASN
469	-34.5535244466	-58.4506765005	HSBC ARGENTINA	BANELCO	AV.LIBERTADOR 6350	6350 DEL LIBERTADOR AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	DEL LIBERTADOR AV. 6350	BELGRANO	COMUNA 13	1428	C1428ART
470	-34.632641809	-58.3734229228	BBVA-BANCO FRANCES	BANELCO	AV.MARTIN GARCIA 702	702 GARCIA, MARTIN AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	GARCIA, MARTIN AV. 702	BARRACAS	COMUNA 4	1268	C1268ABQ
